name;poster
The King's Speech;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQhP7twQcHIYjTXVbLFnw6GUjHX3SMHfYqPYA&s
A Beautiful Mind;https://www.omdb.org/image/default/833.jpeg
CODA;https://pics.filmaffinity.com/coda-473710521-mmed.jpg
Out of Africa;https://m.media-amazon.com/images/M/MV5BOGNjYjc2OGYtM2M3Ny00MDQ4LWE0ZjQtZjk5NzFmZDQyN2IzXkEyXkFqcGdeQXVyMTExNzQzMDE0._V1_QL75_UY562_CR7,0,380,562_.jpg
Forrest Gump;https://m.media-amazon.com/images/M/MV5BOGNjYjc2OGYtM2M3Ny00MDQ4LWE0ZjQtZjk5NzFmZDQyN2IzXkEyXkFqcGdeQXVyMTExNzQzMDE0._V1_QL75_UY562_CR7,0,380,562_.jpg
Platoon;https://m.media-amazon.com/images/M/MV5BOGNjYjc2OGYtM2M3Ny00MDQ4LWE0ZjQtZjk5NzFmZDQyN2IzXkEyXkFqcGdeQXVyMTExNzQzMDE0._V1_QL75_UY562_CR7,0,380,562_.jpg
No Country for Old Men;https://m.media-amazon.com/images/M/MV5BOGNjYjc2OGYtM2M3Ny00MDQ4LWE0ZjQtZjk5NzFmZDQyN2IzXkEyXkFqcGdeQXVyMTExNzQzMDE0._V1_QL75_UY562_CR7,0,380,562_.jpg
Hamlet;https://m.media-amazon.com/images/M/MV5BOGNjYjc2OGYtM2M3Ny00MDQ4LWE0ZjQtZjk5NzFmZDQyN2IzXkEyXkFqcGdeQXVyMTExNzQzMDE0._V1_QL75_UY562_CR7,0,380,562_.jpg
Ordinary People;https://m.media-amazon.com/images/M/MV5BOGNjYjc2OGYtM2M3Ny00MDQ4LWE0ZjQtZjk5NzFmZDQyN2IzXkEyXkFqcGdeQXVyMTExNzQzMDE0._V1_QL75_UY562_CR7,0,380,562_.jpg
One Flew Over the Cuckoo's Nest;https://m.media-amazon.com/images/M/MV5BOGNjYjc2OGYtM2M3Ny00MDQ4LWE0ZjQtZjk5NzFmZDQyN2IzXkEyXkFqcGdeQXVyMTExNzQzMDE0._V1_QL75_UY562_CR7,0,380,562_.jpg
